Name,Month,Day,Hour,Minute,Second,Url,Media,Favorite_Count,Retweet_Count,Text,Language,Retweeted?,Polarity,Subjectivity,Patch_Timing
❄Cap Cringle⸙ ❄aether🎁,12,8,23,59,57,,photo,0,283,"RT @DaPandaBanda: The Trust Squad™️ 
#ffxiv #finalfantasyxiv https://t.co/8UXAwOXFln",en,False,0.0,0.0,After
JONΛH,12,8,23,59,2,,,11,0,i like fandaniel more than i should 💦 #ffxiv,en,False,0.5,0.5,After
Stephen Walters,12,8,23,58,5,,,0,781,"RT @FF_XIV_EN: #FFXIV Patch 5.4, Futures Rewritten, is live! 

As tradition would have it: LET'S GOOOOOOOOOOOOOOOOOOOooo-",en,False,0.17045454545454544,0.5,After
Ashley,12,8,23,56,27,https://t.co/spDTjhwp3K,,0,0,"5.4  patch day for  #FFXIV let's goooooooo

 https://t.co/spDTjhwp3K",en,False,0.0,0.0,After
APuESyo,12,8,23,56,25,,,0,1102,"RT @winterleigh_art: Dance, dance, until the nightmares fade away

Commission for Rosen Hue
This is one of the most complicated artworks I'…",en,False,0.0,0.75,After
FFXIV/Lealin 🔞🏳️‍🌈 👻,12,8,23,56,3,,photo,8,1,"Yeeeee i like this look : D #FFXIV #FF14 AND NEW POSE, YAS IS MORE LIKE HIM https://t.co/cVf3A38caq",en,False,0.5454545454545454,0.6515151515151515,After
Crukkz,12,8,23,55,51,,photo,4,1,Dark Knight Limit Break 3 #FFXIV https://t.co/ZAsrI2MHbt,en,False,-0.15,0.4,After
Larissa ⚡🦋,12,8,23,55,36,,photo,0,283,"RT @DaPandaBanda: The Trust Squad™️ 
#ffxiv #finalfantasyxiv https://t.co/8UXAwOXFln",en,False,0.0,0.0,After
kuro 💸 offbrand zhongli,12,8,23,55,8,,photo,5,1,"Together with my sons~
#wanderingnamazu #namazu #myoc #ffxiv #ffxivart https://t.co/dPRBmGDsPp",en,False,0.0,0.0,After
Kyle,12,8,23,54,1,,,0,4,"RT @reuthegamer: Day one clear of Eden 9-12 with the Catboys (and a couple of others inflicted with us)! ♥️ #FFXIV
@Drazzan @VarTerryth @mj…",en,False,0.12500000000000006,0.3833333333333333,After
EJrpg in Eorzea,12,8,23,53,41,https://t.co/3hQHXZfoSf,,0,0,Does anyone know what the new #FFXIV hairstyles are? Asking for a friend cause we can't find out what they're calle… https://t.co/3hQHXZfoSf,en,False,0.13636363636363635,0.4545454545454545,After
🎁Snow Valkcheeria 🎄,12,8,23,53,16,,,0,16,"RT @triplegcecil: - eight times rejoined -

Happy 5.4 day! 🥳

Cosplay made/worn by me
Axe by @starfallblade 
Gems casted by @RootBeerRiku…",en,False,1.0,1.0,After
☆Yune Tabrisviel☆,12,8,23,53,1,,,0,4,"RT @niekolaisaac: Why do you main AST, you ask? Despite the carpal tunnel damage... Well, time/space witch vibes of course! Gotta love the…",en,False,0.35416666666666663,0.4666666666666667,After
Gert the Adventurer,12,8,23,52,59,,photo,0,0,"They're working really really hard! I wish you were that cool, Bul! Love, Gert! #FFXIV #FF14 https://t.co/j113Z6kEAR",en,False,0.2326388888888889,0.5972222222222222,After
HintOfMusic,12,8,23,52,39,,photo,0,283,"RT @DaPandaBanda: The Trust Squad™️ 
#ffxiv #finalfantasyxiv https://t.co/8UXAwOXFln",en,False,0.0,0.0,After
Alex🤙🏻 JI CHONG CAME HOME,12,8,23,52,34,,,0,38,"RT @orangihaze: Cw: #heavenswardspoilers #hwspoilers (?)

An unstoppable force vs. an immovable object
#ffxivmemes #FFXIV #FF14 https://t.c…",en,False,0.0,0.0,After
Herohom ( • `ω´ • ) 💍💙,12,8,23,52,17,https://t.co/WClEDhfiBw,,29,16,"- eight times rejoined -

Happy 5.4 day! 🥳

Cosplay made/worn by me
Axe by @starfallblade 
Gems casted by… https://t.co/WClEDhfiBw",en,False,1.0,1.0,After
Zane Lionhart,12,8,23,52,15,,photo,3,0,Remember the face of thy lord and burn. #ffxiv #explorermode #Midgarsormer #Dragoon #Limitbreak https://t.co/dgVF5Hq2yN,en,False,0.0,0.0,After
Fehnnis,12,8,23,51,9,,,0,0,I am truly destined to never have any of the rare minions from the NieR raids. #FFXIV,en,False,0.3,0.9,After
"Sylar ""Sykot1k"" Marks 🔥ENVtuber🔥",12,8,23,50,54,https://t.co/HK4s0TJods,,1,0,"Guys and Gals, 'tis time...

Going LIVE NOW @ https://t.co/HK4s0TJods

Come join me as I go through… https://t.co/incyQX6qnb",en,False,0.13636363636363635,0.5,After
Kadou Ryuga,12,8,23,50,42,,photo,0,0,Pls call me your little PogChamp &lt;3  #FFXIV #Maelstrom https://t.co/rrdEPXNcC6,en,False,-0.1875,0.5,After
The Holly Jolly Duke of Frogchester,12,8,23,50,39,,photo,0,12,"RT @peech_000: my branch, my king, my feo ul

#ffxiv #FF14 https://t.co/f1t4npp0vI",en,False,0.0,0.0,After
Veti,12,8,23,50,25,https://t.co/hNnBRiVJGW,,1,1,"You’ve heard of elf on the shelf? Introducing Lala on the shelf!
#FFXIV #finalfantasyxiv #lalafell #gshade… https://t.co/hNnBRiVJGW",en,False,0.0,0.0,After
Marc 🏳️‍🌈 🎮 Spider-Man: Miles Morales,12,8,23,50,21,,,0,4,"RT @reuthegamer: Day one clear of Eden 9-12 with the Catboys (and a couple of others inflicted with us)! ♥️ #FFXIV
@Drazzan @VarTerryth @mj…",en,False,0.12500000000000006,0.3833333333333333,After
Cine’tan,12,8,23,50,11,https://t.co/XevVQIJxnx,,5,0,"Hope y’all are having a good time back at adventuring, world saving and beach going! 💪😼 #ff14 #ffxiv #hrothgar… https://t.co/XevVQIJxnx",en,False,0.35,0.30000000000000004,After
Sixteen Lotts,12,8,23,50,10,,photo,0,0,Ryne loves her wife's massive lips #FFXIV https://t.co/ymNKv2uuZs,en,False,0.0,1.0,After
azaizaigaming,12,8,23,49,59,https://t.co/ACoxOUGxdr,,1,0,Going to make our triumphant return to #FFXIV tonight to explore the new Eden Normal raids in 5.4! Tanking! Dear Go… https://t.co/ACoxOUGxdr,en,False,0.18536931818181815,0.5522727272727272,After
타나코,12,8,23,49,50,,photo,0,515,"RT @clovermemories2: Wings ( * - * )!!!
#FF14 #FFXIV #ffxivsnaps #本日のミドラン #GPOSERS #Midlanders_Today https://t.co/XuAhWhbVbk",en,False,0.48828125,1.0,After
☃️𝑪𝒉𝒓𝒊𝒔𝒕𝒊𝒏𝒆☃️,12,8,23,49,11,,photo,1,0,Give me that post moogle hat! #FinalFantasyXIV #ffxiv #gpose #EorzeaPhotos #PS4share https://t.co/pEh6bfD0yQ,en,False,0.0,0.0,After
Shesha,12,8,23,49,2,,photo,0,603,"RT @nonpsart: Sleep, what a wonderful way to pass the time
#FFXIV #Shadowbringers #EmetSelch https://t.co/XregnZPyCp",en,False,1.0,1.0,After
sil @ 5.4,12,8,23,48,34,,,0,240,"RT @redbeersake: Reposting this piece in celebration of 5.4 releasing!!!
May Eden's Promise treat us well, and may it treat them well ;w;!…",en,False,0.0,0.0,After
Emi  (❁´◡`❁),12,8,23,48,32,,,0,438,"RT @Moogiedaisuki: NPC outfits!
• Adult #Alphinaud &amp; #Alisaie
• #Ysayle and #Estinien as Scions of the seventh dawn

#shinjyuart #ffxiv htt…",en,False,0.1,0.3,After
Naruru,12,8,23,48,13,,photo,0,283,"RT @DaPandaBanda: The Trust Squad™️ 
#ffxiv #finalfantasyxiv https://t.co/8UXAwOXFln",en,False,0.0,0.0,After
Vex-Stein {♣},12,8,23,48,5,,photo,2,1,"obligatory ""it's patch day, mfers"" #GPOSERS #FFXIV #lalafell #nospoilers https://t.co/N8mFef8Uyl",en,False,0.0,0.0,After
Will Fletcher 🎮 Spider-Man & Age of Calamity,12,8,23,48,0,,,0,4,"RT @reuthegamer: Day one clear of Eden 9-12 with the Catboys (and a couple of others inflicted with us)! ♥️ #FFXIV
@Drazzan @VarTerryth @mj…",en,False,0.12500000000000006,0.3833333333333333,After
Reudolph,12,8,23,47,40,https://t.co/p6PQcw5w1l,,12,4,"Day one clear of Eden 9-12 with the Catboys (and a couple of others inflicted with us)! ♥️ #FFXIV
@Drazzan… https://t.co/p6PQcw5w1l",en,False,0.12500000000000006,0.3833333333333333,After
Fullmetalnyuu,12,8,23,47,33,,photo,0,63,"RT @NipahDUBS: Happy #FFXIV patch day everyone!!

Go out there WoL's and have fun. https://t.co/DKytp0xk1J",en,False,0.65,0.6,After
FrenchBen,12,8,23,47,22,https://t.co/4zdHFlx7g9,,0,6,"RT @ffxiv_eu: What does your #FFXIV winter festivities look like this year? 

https://t.co/4zdHFlx7g9

Another collaboration with Square En…",en,False,0.0,0.0,After
Matty Flynn,12,8,23,46,51,https://t.co/4NmXs4epG8,,3,0,I found Wedge... I dropped him down at Monument Tower and thawed myself out while I was there. Now for Biggs...… https://t.co/4NmXs4epG8,en,False,-0.1555555555555556,0.2888888888888889,After
furry little turkey 🌾🌘🍃,12,8,23,46,47,,,0,240,"RT @redbeersake: Reposting this piece in celebration of 5.4 releasing!!!
May Eden's Promise treat us well, and may it treat them well ;w;!…",en,False,0.0,0.0,After
Khalfani Mosi,12,8,23,46,20,,photo,3,0,You need somethin’? #ffxiv #ffxivAuRa #ffxivgpose #ffxivscreenshots #FFXIVSelfie https://t.co/ZTKCeaQ4iR,en,False,0.0,0.0,After
christmas over the country club,12,8,23,46,20,,photo,0,0,I’m... I’m obsessed with my new mount  🥺👉🏻👈🏻 #ffxiv #ffxivsnaps https://t.co/9thdodr4Mt,en,False,-0.18181818181818185,0.7272727272727273,After
Andi 💚,12,8,23,45,18,,photo,0,116,"RT @lyra0730: #FFXIV #FF14 commission for @/fiiirebolt
Thank you for commissioning me! 💚 https://t.co/5qb7O3i8va",en,False,0.0,0.0,After
MerryNoxmas,12,8,23,45,13,,,0,0,One down! #FFXIV,en,False,-0.19444444444444448,0.2888888888888889,After
god damn ascians 💜🧡,12,8,23,45,0,,photo,0,603,"RT @nonpsart: Sleep, what a wonderful way to pass the time
#FFXIV #Shadowbringers #EmetSelch https://t.co/XregnZPyCp",en,False,1.0,1.0,After
Maxi Boost On Shill | Punished Shotty,12,8,23,44,45,https://t.co/xsxH5GCv08,,0,1,"RT @LVcraftNYC: Dying in Emerald EX, later E9S  #FFXIV 

https://t.co/xsxH5GCv08",en,False,0.0,0.0,After
❄️ Kiki,12,8,23,44,5,https://t.co/9KLZbkDRXj,,2,0,"Adventure time, come on grab your cat boi 
#FFXIV #ffxivsnaps #ffxivscreenshots #FinalFantasy14 #FinalFantasyXIV… https://t.co/9KLZbkDRXj",en,False,0.0,0.0,After
Niho 🍓 G'raha Stanwich 🌻 5.4 spoilers,12,8,23,43,56,,photo,0,283,"RT @DaPandaBanda: The Trust Squad™️ 
#ffxiv #finalfantasyxiv https://t.co/8UXAwOXFln",en,False,0.0,0.0,After
