Name,Month,Day,Hour,Minute,Second,Url,Media,Favorite_Count,Retweet_Count,Text,Language,Retweeted?,Polarity,Subjectivity,Patch_Timing
巨大金魚🐟Pandaemonium🐼,12,3,23,59,54,,,0,319,"RT @FF_XIV_EN: Oh my, what big eyes you have! 🐸👀

Will luck be on your side this time?
Or will Atomos go Y E E T

5️⃣ days until #FFXIV Pat…",en,False,0.0,0.1,Before
Zao Lv81 @ 🍭アザz3ルもん🍭,12,3,23,59,53,,,0,178,"RT @AestMirra: Pictures taken around Lakeland.

I like how how some of the places look a bit like painting when it gets foggy and it is rai…",en,False,0.0,0.0,Before
Izik,12,3,23,59,48,,photo,0,154,"RT @WhyMaige: Stack on---

........ the Blackmage

#FFXIV #FF14 https://t.co/Ur0MplVTkJ",en,False,0.0,0.0,Before
Toiletta ♿🚽🎀,12,3,23,59,47,,photo,0,225,RT @mellalyss: I drew the most precious catboy uwu #ffxiv https://t.co/iYEg62iLhZ,en,False,0.5,0.75,Before
Alicia Frostfall,12,3,23,59,45,,photo,11,2,"Welcome to Amaurot

#FFXIV #FF14 #ffxivsnaps #GPOSERS #FFXIVMOD https://t.co/uqkxP2sVKi",en,False,0.8,0.9,Before
Remy,12,3,23,59,44,https://t.co/qcrLxqb9SU,,0,1255,"RT @FF_XIV_EN: More new gear on the way! ⚔️ https://t.co/qcrLxqb9SU

👇 This is what you'll be able to redeem with the new tomestones of rev…",en,False,0.3267045454545454,0.5085227272727273,Before
🍞 Lahabread - 5.3 spoilers 🍞,12,3,23,59,24,https://t.co/qcrLxqb9SU,,0,1255,"RT @FF_XIV_EN: More new gear on the way! ⚔️ https://t.co/qcrLxqb9SU

👇 This is what you'll be able to redeem with the new tomestones of rev…",en,False,0.3267045454545454,0.5085227272727273,Before
Kabe Smith,12,3,23,58,53,,,0,0,"@Accomp Let me guess, you launched #FFXIV?",en,False,0.0,0.0,Before
"m 🌿 half elf, full friend",12,3,23,57,52,,,0,18,"RT @Sabadoodle: first comm in over a year and i get MerlwybWol, i feel blessed ⚓️❤️ thank you so much!!! #commission #FFXIV https://t.co/DI…",en,False,0.3203125,0.26666666666666666,Before
Belle 🔔 ENVtuber,12,3,23,57,30,https://t.co/nKEN3ixVp5,,3,1,"Reminder that, in about an hour I’ll be streaming some more #CoffeeTalk over on #twitchtv. Another slow, chill stre… https://t.co/nKEN3ixVp5",en,False,0.09999999999999998,0.45,Before
Harui ハルイ🥪 graha fanart retweet machine,12,3,23,57,27,,,0,178,"RT @AestMirra: Pictures taken around Lakeland.

I like how how some of the places look a bit like painting when it gets foggy and it is rai…",en,False,0.0,0.0,Before
🎀✨dodo pogato ✨🎀,12,3,23,57,18,,photo,0,2,RT @snackyboy: Idk if you could tell from my tears but I was so relieved we finally cleared this fight 😅😂 #ffxiv https://t.co/qMRME72sEm,en,False,0.0,1.0,Before
Anko@Rihua Adelram-Lionnellais-Malqir,12,3,23,57,2,https://t.co/qcrLxqb9SU,,0,1255,"RT @FF_XIV_EN: More new gear on the way! ⚔️ https://t.co/qcrLxqb9SU

👇 This is what you'll be able to redeem with the new tomestones of rev…",en,False,0.3267045454545454,0.5085227272727273,Before
🍂Arcane🍁,12,3,23,56,51,,photo,0,225,RT @mellalyss: I drew the most precious catboy uwu #ffxiv https://t.co/iYEg62iLhZ,en,False,0.5,0.75,Before
RaichuSama,12,3,23,56,37,,,0,178,"RT @AestMirra: Pictures taken around Lakeland.

I like how how some of the places look a bit like painting when it gets foggy and it is rai…",en,False,0.0,0.0,Before
焼き猫,12,3,23,56,34,https://t.co/qcrLxqb9SU,,0,1255,"RT @FF_XIV_EN: More new gear on the way! ⚔️ https://t.co/qcrLxqb9SU

👇 This is what you'll be able to redeem with the new tomestones of rev…",en,False,0.3267045454545454,0.5085227272727273,Before
Jen - loving pau more and more and more and more a,12,3,23,56,32,,,0,178,"RT @AestMirra: Pictures taken around Lakeland.

I like how how some of the places look a bit like painting when it gets foggy and it is rai…",en,False,0.0,0.0,Before
"🌈🔥 STANDING IN SOLIDARITY, Commissions Open!!",12,3,23,56,13,,,0,3,"RT @ReiTheChocobutt: tw/ transphobic jokes,

This is NOT okay. Please do NOT be this person. If you are in a party of strangers, please do…",en,False,-0.25,0.5,Before
Snacky Boy ™ FFXIV 5.4 🔮,12,3,23,56,12,https://t.co/fqzy0CT3uY,,3,0,also we made it through the second clear by the skin of our teeth... those cast bars were GONE we should have died… https://t.co/fqzy0CT3uY,en,False,0.05000000000000001,0.19166666666666665,Before
もろは（5.3済）,12,3,23,55,54,https://t.co/qcrLxqb9SU,,0,1255,"RT @FF_XIV_EN: More new gear on the way! ⚔️ https://t.co/qcrLxqb9SU

👇 This is what you'll be able to redeem with the new tomestones of rev…",en,False,0.3267045454545454,0.5085227272727273,Before
Igx{Job Thot},12,3,23,55,47,,photo,0,225,RT @mellalyss: I drew the most precious catboy uwu #ffxiv https://t.co/iYEg62iLhZ,en,False,0.5,0.75,Before
